Time [s],Heat flux [W],,,
,,,Time,experiment heatflux
,,,597.405,1431.0564
,,,598.465,1359.7701
,,,599.525,1390.2777
,,,600.604,1418.7802
,,,601.665,1379.7331
,,,602.718,1411.1501
,,,603.782,1411.2744
,,,604.848,1418.9785
,,,605.91,1355.1746
,,,606.963,1419.6312
,,,608.037,1407.0449
,,,609.098,1413.5954
,,,610.164,1443.9122
,,,611.225,1477.4992
,,,612.277,1442.8966
,,,613.349,1453.6026
,,,614.412,1453.9401
,,,615.485,1444.5742
,,,616.55,1446.7666
,,,617.605,1484.064
,,,618.665,1434.6028
,,,619.727,1481.8848
,,,620.788,1474.8487
,,,621.868,1477.0316
,,,622.928,1434.6385
,,,624.004,1467.5197
,,,625.068,1463.9651
,,,626.12,1474.9024
,,,627.185,1493.3605
,,,628.26,1460.2975
,,,629.328,1463.0665
,,,630.4,1562.5687
,,,631.475,1479.8024
,,,632.535,1513.1819
,,,633.607,1458.5416
,,,634.679,1496.9696
,,,635.746,1543.9035
,,,636.818,1549.4351
,,,637.881,1508.5799
,,,638.958,1474.5657
,,,640.017,1536.2175
,,,641.088,1522.5246
,,,642.14,1517.1005
,,,643.202,1483.6276
,,,644.277,1506.3016
,,,645.344,1486.1666
,,,646.401,1530.6119
,,,647.461,1517.6136
,,,648.522,1542.2645
,,,649.584,1470.2327
,,,650.644,1494.7541
,,,651.717,1518.9355
,,,652.773,1546.7389
,,,653.834,1530.4598
,,,654.896,1555.8083
,,,655.961,1548.4707
,,,657.013,1547.6066
,,,658.076,1515.8528
,,,659.152,1538.6487
,,,660.212,1543.2977
,,,661.285,1544.2695
,,,662.338,1531.113
,,,663.411,1517.9158
,,,664.486,1540.6415
,,,665.557,1515.3324
,,,666.63,1584.719
,,,667.683,1561.6435
,,,668.746,1543.6559
,,,669.809,1524.4227
,,,670.874,1562.2388
,,,671.938,1533.7863
,,,672.997,1591.5014
,,,674.071,1520.1129
,,,675.145,1554.6061
,,,676.213,1563.7387
,,,677.266,1520.1284
,,,678.337,1523.71
,,,679.416,1563.179
,,,680.475,1582.4535
,,,681.548,1570.0896
,,,682.618,1523.9554
,,,683.675,1514.3214
,,,684.738,1533.4294
,,,685.801,1561.6987
,,,686.856,1525.7255
,,,687.928,1580.7529
,,,689.002,1538.2885
,,,690.085,1558.7816
,,,691.144,1595.0864
,,,692.197,1541.099
,,,693.255,1588.8214
,,,694.308,1576.4043
,,,695.37,1566.8349
,,,696.438,1587.8991
,,,697.516,1576.9296
,,,698.579,1589.8199
,,,699.656,1566.5515
